S1,         kr1,        kr2
0.2400,     0.0000,     1.0000
0.2684,     0.0003,     0.8073
0.2968,     0.0019,     0.6981
0.3253,     0.0053,     0.5453
0.3537,     0.0096,     0.4767
0.3821,     0.0165,     0.4062
0.4105,     0.0278,     0.3094
0.4389,     0.0388,     0.2673
0.4674,     0.0502,     0.1995
0.4958,     0.0701,     0.1552
0.5242,     0.0858,     0.1137
0.5526,     0.1079,     0.0921
0.5811,     0.1377,     0.0580
0.6095,     0.1491,     0.0357
0.6379,     0.1800,     0.0235
0.6663,     0.2259,     0.0114
0.6947,     0.2577,     0.0055
0.7232,     0.3189,     0.0016
0.7516,     0.3438,     0.0002
0.7800,     0.3810,     0.0000
