P, B_o, B_w, c_w, c_o, c_f, mu_w, mu_o, rho_w, rho_o
100,1,1,1e-10,1e-10,1e-10,0.001,0.002,1000,1000
2000,1,1,1e-10,1e-10,1e-10,0.001,0.002,1000,1000
3000,1,1,1e-10,1e-10,1e-10,0.001,0.002,1000,1000
4000,1,1,1e-10,1e-10,1e-10,0.001,0.002,1000,1000
5000,1,1,1e-10,1e-10,1e-10,0.001,0.002,1000,1000
20000,1,1,1e-10,1e-10,1e-10,0.001,0.002,1000,1000
60000,1,1,1e-10,1e-10,1e-10,0.001,0.002,1000,1000
80000,1,1,1e-10,1e-10,1e-10,0.001,0.002,1000,1000
100000,1,1,1e-10,1e-10,1e-10,0.001,0.002,1000,1000 
1000000,1,1,1e-10,1e-10,1e-10,0.001,0.002,1000,1000  
