S1,         kr1,        kr2
0.2000,     0.0000,     0.7000
0.2263,     0.0008,     0.6283
0.2526,     0.0033,     0.5604
0.2789,     0.0075,     0.4964
0.3053,     0.0133,     0.4363
0.3316,     0.0208,     0.3801
0.3579,     0.0299,     0.3277
0.3842,     0.0407,     0.2792
0.4105,     0.0532,     0.2346
0.4368,     0.0673,     0.1939
0.4632,     0.0831,     0.1571
0.4895,     0.1006,     0.1241
0.5158,     0.1197,     0.0950
0.5421,     0.1404,     0.0698
0.5684,     0.1629,     0.0485
0.5947,     0.1870,     0.0310
0.6211,     0.2127,     0.0175
0.6474,     0.2402,     0.0078
0.6737,     0.2693,     0.0019
0.7000,     0.3000,     0.0000
